,group,variable,value,color,text,cnp,mobile_text
0,Abitibi-Témiscamingue,  0131 Directeurs d'entreprises de télécommunications,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,131,Les directeurs d'entreprises de télécommunications n'ont pas été <br>l'objet d'un diagnostic dans la région.
1,Abitibi-Témiscamingue,  0213 Gestionnaires des systèmes informatiques,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,213,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les gestionnaires des systèmes informatiques.
2,Abitibi-Témiscamingue,  2133 Ingénieurs électriciens et électroniciens,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2133,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs électriciens et électroniciens
3,Abitibi-Témiscamingue,  2147 Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2147,Les ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel) n'ont pas été <br>l'objet d'un diagnostic dans la région.
4,Abitibi-Témiscamingue,  2171 Analystes et consultants en informatique,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2171,Les analystes et consultants en informatique n'ont pas été <br>l'objet d'un diagnostic dans la région.
5,Abitibi-Témiscamingue,  2172 Analystes de bases de données et administrateurs de données,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2172,Les analystes de bases de données et administrateurs de données n'ont pas été <br>l'objet d'un diagnostic dans la région.
6,Abitibi-Témiscamingue,  2173 Ingénieurs et concepteurs en logiciel,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2173,Les ingénieurs et concepteurs en logiciel n'ont pas été <br>l'objet d'un diagnostic dans la région.
7,Abitibi-Témiscamingue,  2174 Programmeurs et développeurs en médias interactifs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2174,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les programmeurs et développeurs en médias interactifs.
8,Abitibi-Témiscamingue,  2175 Concepteurs et développeurs Web,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2175,Les concepteurs et développeurs web n'ont pas été <br>l'objet d'un diagnostic dans la région.
9,Abitibi-Témiscamingue,  2241 Technologues et techniciens en génie électronique et électrique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2241,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les technologues et techniciens en génie électronique et électrique
10,Abitibi-Témiscamingue,  2281 Techniciens de réseau informatique,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2281,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens de réseau informatique.
11,Abitibi-Témiscamingue,  2282 Agents de soutien aux utilisateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2282,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les agents de soutien aux utilisateurs.
12,Abitibi-Témiscamingue,  2283 Évaluateurs de systèmes informatiques,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2283,Les évaluateurs de systèmes informatiques n'ont pas été <br>l'objet d'un diagnostic dans la région.
13,Abitibi-Témiscamingue,"  5121 Auteurs, rédacteurs et écrivains",0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,5121,"Les auteurs, rédacteurs et écrivains n'ont pas été <br>l'objet d'un diagnostic dans la région."
14,Abitibi-Témiscamingue,  5223 Techniciens en graphisme,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,5223,Les techniciens en graphisme n'ont pas été <br>l'objet d'un diagnostic dans la région.
15,Abitibi-Témiscamingue,  5241 Designers graphiques et illustrateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5241,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les designers graphiques et illustrateurs.
16,Abitibi-Témiscamingue,  7202 Entrepreneurs et contremaîtres en électricité et en télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7202,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les entrepreneurs et contremaîtres en électricité et en télécommunications.
17,Abitibi-Témiscamingue,  7245 Monteurs de lignes et de câbles de télécommunications,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,7245,Les monteurs de lignes et de câbles de télécommunications n'ont pas été <br>l'objet d'un diagnostic dans la région.
18,Abitibi-Témiscamingue,  7246 Installateurs et réparateurs de matériel de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7246,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les installateurs et réparateurs de matériel de télécommunications.
19,Abitibi-Témiscamingue,  7247 Techniciens en montage et en entretien d'installations de câblodistribution,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,7247,Les techniciens en montage et en entretien d'installations de câblodistribution n'ont pas été <br>l'objet d'un diagnostic dans la région.
20,Abitibi-Témiscamingue,  9222 Surveillants dans la fabrication de matériel électronique,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,9222,Les surveillants dans la fabrication de matériel électronique n'ont pas été <br>l'objet d'un diagnostic dans la région.
21,Abitibi-Témiscamingue,"  9523 Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,9523,"Les assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique n'ont pas été <br>l'objet d'un diagnostic dans la région."
22,Bas-Saint-Laurent,  0131 Directeurs d'entreprises de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,131,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les directeurs d'entreprises de télécommunications.
23,Bas-Saint-Laurent,  0213 Gestionnaires des systèmes informatiques,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,213,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les gestionnaires des systèmes informatiques.
24,Bas-Saint-Laurent,  2133 Ingénieurs électriciens et électroniciens,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2133,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs électriciens et électroniciens
25,Bas-Saint-Laurent,  2147 Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2147,Les ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel) n'ont pas été <br>l'objet d'un diagnostic dans la région.
26,Bas-Saint-Laurent,  2171 Analystes et consultants en informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2171,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les analystes et consultants en informatique
27,Bas-Saint-Laurent,  2172 Analystes de bases de données et administrateurs de données,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2172,Les analystes de bases de données et administrateurs de données n'ont pas été <br>l'objet d'un diagnostic dans la région.
28,Bas-Saint-Laurent,  2173 Ingénieurs et concepteurs en logiciel,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2173,Les ingénieurs et concepteurs en logiciel n'ont pas été <br>l'objet d'un diagnostic dans la région.
29,Bas-Saint-Laurent,  2174 Programmeurs et développeurs en médias interactifs,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2174,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les programmeurs et développeurs en médias interactifs
30,Bas-Saint-Laurent,  2175 Concepteurs et développeurs Web,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2175,Les concepteurs et développeurs web n'ont pas été <br>l'objet d'un diagnostic dans la région.
31,Bas-Saint-Laurent,  2241 Technologues et techniciens en génie électronique et électrique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2241,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les technologues et techniciens en génie électronique et électrique
32,Bas-Saint-Laurent,  2281 Techniciens de réseau informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2281,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les techniciens de réseau informatique
33,Bas-Saint-Laurent,  2282 Agents de soutien aux utilisateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2282,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les agents de soutien aux utilisateurs.
34,Bas-Saint-Laurent,  2283 Évaluateurs de systèmes informatiques,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2283,Les évaluateurs de systèmes informatiques n'ont pas été <br>l'objet d'un diagnostic dans la région.
35,Bas-Saint-Laurent,"  5121 Auteurs, rédacteurs et écrivains",0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,5121,"Les auteurs, rédacteurs et écrivains n'ont pas été <br>l'objet d'un diagnostic dans la région."
36,Bas-Saint-Laurent,  5223 Techniciens en graphisme,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5223,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens en graphisme.
