id,value1
professions,
professions.0,
professions.0.Directeurs d’entreprises de  télécommunications,10.2
professions.0.Gestionnaires des systèmes  informatiques,41.5
professions.2,
professions.2.1,
professions.2.1.Ingénieurs  électriciens et  électroniciens,5.7
professions.2.1.Ingénieurs  informaticiens,19.7
professions.2.1.Analystes et consultants en  informatique,118.7
professions.2.1.Analystes de  bases de données  et administrateurs  de données, 7.8
professions.2.1.Ingénieurs et concepteurs  en logiciel,36.2
professions.2.1.Programmeurs et développeurs  en médias interactifs,93.9
professions.2.1.Concepteurs et  développeurs Web, 18.8
professions.2.2,
professions.2.2.Technologues et  techniciens en génie  électronique et  électrique, 6.5
professions.2.2.Techniciens de réseau  informatique,16.2
professions.2.2.Agents de soutien aux  utilisateurs,30.3
professions.2.2.Évaluateurs de  systèmes informatiques, 8.7
professions.5,
professions.5.Auteurs  rédacteurs  et écrivains,2.2
professions.5.Techniciens en  graphisme,1.6
professions.5.Designers graphiques et  illustrateurs, 10.4
professions.7,
professions.7.Entrepreneurs et  contremaîtres en  électricité et en  télécommunications, 2.0
professions.7.Monteurs de lignes  et de câbles de  télécommunications,4.9
professions.7.Installateurs et réparateurs de matériel de  télécommunications,13.1
professions.7.Techniciens en montage et en entretien  d’installations de câblodistribution, 2.9
professions.9,
professions.9.Surveillants dans la fabrication  de 	matériel électronique, 2.9
professions.9.Assembleurs  et vérificateurs de  matériel  électronique,11.2
	
